WilsonReederName;MagielseCerebellum;MagielseCerebrum;nMagielse;StephanCerebellum;StephanCerebrum;nStephan;AggregateCerebellum;AggregateCerebrum;nTOTAL;CEREBELLUM;CEREBRUM;CCRATIO;CCRATIO_orig;Difference;PercentDifference;MagielseCrus;AACRATIO;AACRATIO-orig;Difference;PercentDifference
Aotus_trivirgatus;1626,5000000000;11745,668950000;1;1873;12128;5;1831,91666666667;12064,2781583333;6;1831,91666666667;12064,2781583333;15,1846355216975;13,847657438021;1,3369780836765;9,65490437397454;216,5000000000;11,8182231724514;13,3107900400;-1,4925668675117;-11,2132102078881
Ateles_paniscus;8903,1340385000;77381,000000000;2;;;;;;2;8903,1340385000;77381,000000000;11,5055815232421;11,5055815232421;0;0;NA;;;;
Callithrix_penicillata;484,8906250000;3937,970947000;1;;;;;;1;484,8906250000;3937,970947000;12,3132098109915;12,3132098109915;0;0;NA;;;;
Cebus_apella;5190,5421720000;36284,496090000;1;;;;;;1;5190,5421720000;36284,496090000;14,3051240373447;14,3051240373447;0;0;1012,0000000000;19,4969998598;19,4969998598;0,0000000000;0,0000000000
Cebus_capucinus;4274,4640920000;40050,730470000;1;;;;;;1;4274,4640920000;40050,730470000;10,672624548513;10,672624548513;0;0;NA;;;;
Cercocebus_atys;5362,4314410000;51689,042970000;1;;;;;;1;5362,4314410000;51689,042970000;10,3744065141858;10,3744065141858;0;0;NA;;;;
Cercopithecus_cephus_cephus;3697,2968750000;41537,898440000;1;;;;;;1;3697,2968750000;41537,898440000;8,90102054715313;8,90102054715313;0;0;NA;;;;
Chlorocebus_sabaeus;4169,0164970000;53627,046880000;1;;;;;;1;4169,0164970000;53627,046880000;7,77409299887221;7,77409299887221;0;0;505,0000000000;12,1131686661;12,1131686661;0,0000000000;0,0000000000
Colobus_polykomos;5787,0854260000;40468,386720000;1;;;;;;1;5787,0854260000;40468,386720000;14,3002622418352;14,3002622418352;0;0;842,0000000000;14,5496383416;14,5496383416;0,0000000000;0,0000000000
Daubentonia_madagascariensis;3032,4423090000;17151,126950000;1;6461;30196;1;4746,7211545;23673,563475;2;4746,7211545;23673,563475;20,0507251876663;17,6807175285937;2,3700076590726;13,4044766861965;374,0000000000;7,87912303728732;12,3332931641;-4,45417012677398;-36,1150105452228
Eulemur_mongoz;3223,5573840000;14495,492190000;1;;;;;;1;3223,5573840000;14495,492190000;22,2383437674771;22,2383437674771;0;0;NA;;;;
Galago_demidoff;320,5625000000;1925,203247000;1;413;2240;2;382,1875;2135,067749;3;382,1875;2135,067749;17,9004858360586;16,650839359404;1,2496464766546;7,50500590199274;NA;;;;
Gorilla_beringei_graueri;46163,1481300000;272907,906300000;1;;;;;;1;46163,1481300000;272907,906300000;16,9152842641555;16,9152842641555;0;0;NA;;;;
Gorilla_gorilla_gorilla;58402,1690700000;237689,671900000;1;69249;368878;1;63825,584535;303283,83595;2;63825,584535;303283,83595;21,0448355531623;24,570764309259;-3,5259287560967;-14,3500979933621;13107,0000000000;11,8182231724514;22,4426595942;-10,6244364217327;-47,3403625677501
Homo_sapiens;146279,0000000000;1006857,675050000;10;137421;1063399;1;145473,727272727;1011997,7955;11;145473,727272727;1011997,7955;14,3749055501502;14,528269846355;-0,1533642962048;-1,05562670453342;43937,7000000000;30,2031857048852;30,0369157569;0,1662699480096;0,553552000329927
Hylobates_lar;8681,2906280000;60685,457030000;1;12078;76001;1;10379,645314;68343,228515;2;10379,645314;68343,228515;15,1875255815898;14,3053888903043;0,8821366912855;6,16646424679431;NA;;;;
Lagothrix_lagotricha;5595,2343750000;49384,894530000;1;11268;74822;3;9849,80859375;68462,7236325;4;9849,80859375;68462,7236325;14,3871118049913;11,3298498017467;3,0572620032446;26,9841353304902;873,7500000000;8,87073075262011;15,6159678298;-6,74523707714569;-43,1944862507241
Lemur_catta;2035,2187500000;12657,725590000;1;;;;;;1;2035,2187500000;12657,725590000;16,0788661085202;16,0788661085202;0;0;NA;;;;
Lepilemur_ruficaudatus;882,2812500000;4087,298828000;1;1165;4708;3;1094,3203125;4552,824707;4;1094,3203125;4552,824707;24,036073930487;21,585924766644;2,450149163843;11,3506796226267;NA;;;;
Lophocebus_albigena;6320,4577530000;49184,953130000;1;;;;;;1;6320,4577530000;49184,953130000;12,8503888908758;12,8503888908758;0;0;NA;;;;
Loris_tardigradus;446,6562500000;3071,111084000;1;728;4551;1;587,328125;3811,055542;2;587,328125;3811,055542;15,4111667627855;14,5437998751334;0,8673668876521;5,96382578898862;NA;;;;
Macaca_fascicularis;6100,6505473750;47443,956545000;7;;;;;;7;6100,6505473750;47443,956545000;12,8586462673884;12,8586462673884;0;0;698,0000000000;11,4414027583;11,4414027583;0,0000000000;0,0000000000
Macaca_mulatta;9185,0775265000;68716,945315000;5;8965;71080;1;9148,39793875;69110,7877625;6;9148,39793875;69110,7877625;13,2372936772021;13,3665393366882;-0,1292456594861;-0,966934344264781;500,0000000000;5,46543781050607;5,4436121912;0,02182561934663;0,40094001152535
Microcebus_murinus;169,8906250000;809,311829000;1;234;1129;6;224,841517857143;1083,33026128571;7;224,841517857143;1083,33026128571;20,7546605030952;20,9919858962052;-0,23732539311;-1,1305523654763;NA;;;;
Mirza_coquereli;883,8630399000;3884,830322000;1;;;;;;1;883,8630399000;3884,830322000;22,7516510797045;22,7516510797045;0;0;NA;;;;
Pan_paniscus;48408,3783900000;243035,609400000;1;;;;;;1;48408,3783900000;243035,609400000;19,9182245389922;19,9182245389922;0;0;6627,0000000000;13,6897789606;13,6897789606;0,0000000000;
Pan_troglodytes_troglodytes;52441,3333333333;283803,817722222;9;43663;313493;1;51563,5;286772,73595;10;51563,5;286772,73595;17,9806144503884;18,4780225136581;-0,4974080632697;-2,69189012461717;15638,7777777778;30,3291626398088;29,8214724602;0,507690179578;1,70243162960864
Papio_hamadryas;9478,2982070000;89861,179690000;1;;;;;;1;9478,2982070000;89861,179690000;10,5477117479404;10,5477117479404;0;0;1841,0000000000;19,4233179817;19,4233179817;0,0000000000;
Pongo_pygmaeus;25757,3323400000;184458,296900000;1;;;;;;1;25757,3323400000;184458,296900000;13,963770008114;13,963770008114;0;0;6081,0000000000;23,6088113463;23,6088113463;0,0000000000;
Saguinus_oedipus;750,0500112000;6254,427246000;1;984;7052;3;925,5125028;6852,6068115;4;925,5125028;6852,6068115;13,5059916358664;11,9923053174804;1,513686318386;12,6221462705723;NA;;;;
Saimiri_sciureus;920,0156250000;8539,606201000;2;2260;17635;1;1366,67708333333;11571,404134;3;1366,67708333333;11571,404134;11,8108145520357;10,7735134776152;1,0373010744205;9,62825244128357;103,0000000000;7,53652792280548;13,3107900400;-5,77426211719452;-43,3803110096575
Semnopithecus_entellus;6748,5625000000;49915,832030000;1;;;;;;1;6748,5625000000;49915,832030000;13,5198838235212;13,5198838235212;0;0;NA;;;;
Trachypithecus_(Trachypithecus)_germaini;3756,0784480000;37987,582030000;1;;;;;;1;3756,0784480000;37987,582030000;9,88764813994664;9,88764813994664;0;0;NA;;;;
Varecia_variegata_variegata;3376,9409010000;16032,390630000;1;1420;20461;1;2398,4704505;18246,695315;2;2398,4704505;18246,695315;13,1446840597393;21,063239905601;-7,9185558458617;-37,5941967206861;NA;;;;